id,month,airline,cancelled
1,1,Alaska Airlines Inc.,31
2,1,American Airlines Inc.,162
3,1,American Eagle Airlines Inc.,666
4,1,Atlantic Southeast Airlines,107
5,1,Delta Air Lines Inc.,27
6,1,Frontier Airlines Inc.,6
7,1,Hawaiian Airlines Inc.,22
8,1,JetBlue Airways,44
9,1,Skywest Airlines Inc.,256
10,1,Southwest Airlines Co.,125
11,1,Spirit Air Lines,8
12,1,US Airways Inc.,87
13,1,United Air Lines Inc.,213
14,1,Virgin America,16
15,2,Alaska Airlines Inc.,50
16,2,American Airlines Inc.,355
17,2,American Eagle Airlines Inc.,721
18,2,Atlantic Southeast Airlines,291
19,2,Delta Air Lines Inc.,40
20,2,Frontier Airlines Inc.,8
21,2,Hawaiian Airlines Inc.,3
22,2,JetBlue Airways,45
23,2,Skywest Airlines Inc.,299
24,2,Southwest Airlines Co.,208
25,2,Spirit Air Lines,53
26,2,US Airways Inc.,128
27,2,United Air Lines Inc.,275
28,2,Virgin America,37
29,3,Alaska Airlines Inc.,22
30,3,American Airlines Inc.,199
31,3,American Eagle Airlines Inc.,255
32,3,Atlantic Southeast Airlines,159
33,3,Delta Air Lines Inc.,17
34,3,Frontier Airlines Inc.,4
35,3,Hawaiian Airlines Inc.,10
36,3,JetBlue Airways,6
37,3,Skywest Airlines Inc.,132
38,3,Southwest Airlines Co.,139
39,3,Spirit Air Lines,25
40,3,US Airways Inc.,73
41,3,United Air Lines Inc.,137
42,3,Virgin America,15
43,4,Alaska Airlines Inc.,37
44,4,American Airlines Inc.,85
45,4,American Eagle Airlines Inc.,163
46,4,Atlantic Southeast Airlines,144
47,4,Delta Air Lines Inc.,6
48,4,Frontier Airlines Inc.,6
49,4,Hawaiian Airlines Inc.,10
50,4,JetBlue Airways,1
51,4,Skywest Airlines Inc.,187
52,4,Southwest Airlines Co.,75
53,4,Spirit Air Lines,20
54,4,US Airways Inc.,34
55,4,United Air Lines Inc.,114
56,4,Virgin America,7
57,5,Alaska Airlines Inc.,21
58,5,American Airlines Inc.,86
59,5,American Eagle Airlines Inc.,85
60,5,Atlantic Southeast Airlines,35
61,5,Delta Air Lines Inc.,5
62,5,Frontier Airlines Inc.,1
63,5,Hawaiian Airlines Inc.,6
64,5,JetBlue Airways,4
65,5,Skywest Airlines Inc.,140
66,5,Southwest Airlines Co.,112
67,5,Spirit Air Lines,59
68,5,US Airways Inc.,28
69,5,United Air Lines Inc.,83
70,5,Virgin America,0
71,6,Alaska Airlines Inc.,33
72,6,American Airlines Inc.,151
73,6,American Eagle Airlines Inc.,436
74,6,Atlantic Southeast Airlines,251
75,6,Delta Air Lines Inc.,14
76,6,Frontier Airlines Inc.,7
77,6,Hawaiian Airlines Inc.,8
78,6,JetBlue Airways,6
79,6,Skywest Airlines Inc.,319
80,6,Southwest Airlines Co.,210
81,6,Spirit Air Lines,126
82,6,US Airways Inc.,47
83,6,United Air Lines Inc.,304
84,6,Virgin America,3
85,7,Alaska Airlines Inc.,28
86,7,American Airlines Inc.,127
87,7,American Eagle Airlines Inc.,179
88,7,Atlantic Southeast Airlines,112
89,7,Delta Air Lines Inc.,5
90,7,Frontier Airlines Inc.,3
91,7,Hawaiian Airlines Inc.,9
92,7,JetBlue Airways,10
93,7,Skywest Airlines Inc.,188
94,7,Southwest Airlines Co.,182
95,7,Spirit Air Lines,44
96,7,United Air Lines Inc.,135
97,7,Virgin America,5
98,8,Alaska Airlines Inc.,22
99,8,American Airlines Inc.,150
100,8,American Eagle Airlines Inc.,262
101,8,Atlantic Southeast Airlines,108
102,8,Delta Air Lines Inc.,5
103,8,Frontier Airlines Inc.,2
104,8,Hawaiian Airlines Inc.,35
105,8,JetBlue Airways,8
106,8,Skywest Airlines Inc.,211
107,8,Southwest Airlines Co.,179
108,8,Spirit Air Lines,49
109,8,United Air Lines Inc.,96
110,8,Virgin America,10
111,9,Alaska Airlines Inc.,19
112,9,American Airlines Inc.,53
113,9,American Eagle Airlines Inc.,151
114,9,Atlantic Southeast Airlines,46
115,9,Delta Air Lines Inc.,0
116,9,Frontier Airlines Inc.,3
117,9,Hawaiian Airlines Inc.,19
118,9,JetBlue Airways,2
119,9,Skywest Airlines Inc.,100
120,9,Southwest Airlines Co.,108
121,9,Spirit Air Lines,22
122,9,United Air Lines Inc.,32
123,9,Virgin America,3
124,10,Alaska Airlines Inc.,15
125,10,American Airlines Inc.,54
126,10,American Eagle Airlines Inc.,17
127,10,Atlantic Southeast Airlines,7
128,10,Delta Air Lines Inc.,1
129,10,Frontier Airlines Inc.,1
130,10,Hawaiian Airlines Inc.,12
131,10,JetBlue Airways,1
132,10,Skywest Airlines Inc.,45
133,10,Southwest Airlines Co.,47
134,10,Spirit Air Lines,14
135,10,United Air Lines Inc.,31
136,10,Virgin America,1
137,11,Alaska Airlines Inc.,23
138,11,American Airlines Inc.,144
139,11,American Eagle Airlines Inc.,393
140,11,Atlantic Southeast Airlines,142
141,11,Delta Air Lines Inc.,2
142,11,Frontier Airlines Inc.,11
143,11,Hawaiian Airlines Inc.,4
144,11,JetBlue Airways,1
145,11,Skywest Airlines Inc.,190
146,11,Southwest Airlines Co.,141
147,11,Spirit Air Lines,37
148,11,United Air Lines Inc.,95
149,11,Virgin America,7
150,12,Alaska Airlines Inc.,53
151,12,American Airlines Inc.,248
152,12,American Eagle Airlines Inc.,249
153,12,Atlantic Southeast Airlines,175
154,12,Delta Air Lines Inc.,13
155,12,Frontier Airlines Inc.,23
156,12,Hawaiian Airlines Inc.,4
157,12,JetBlue Airways,2
158,12,Skywest Airlines Inc.,221
159,12,Southwest Airlines Co.,160
160,12,Spirit Air Lines,53
161,12,United Air Lines Inc.,247
162,12,Virgin America,13